Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
TM35_000501110-t36_1-p1	TM35_000501110-t36_1-p1	4	3	3	TM35_000501110-t36_1-p1 | transcript=TM35_000501110-t36_1 | gene=TM35_000501110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:27542-28468(-) | protein	1	4	3	3	20.5	17.9	17.9	30.688	308	308	0	20.462	9981300	6				858	486;1076;1078;1649	True;True;False;True	491;1090;1092;1669	585;1349;1351;2056	1059;1060;2613;2614;2616;2617;2618;2619;3957;3958	1060;2613;2619;3958		
TM35_000501130-t36_1-p1	TM35_000501130-t36_1-p1	4	4	3	TM35_000501130-t36_1-p1 | transcript=TM35_000501130-t36_1 | gene=TM35_000501130 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:36883-37701(-) | protein	1	4	4	3	14.7	14.7	12.1	28.774	272	272	0	30.288	8637600	8				859	880;2457;2660;3821	True;True;True;True	890;2508;2716;3892	1097;3077;3333;4792;4793	2098;2099;2100;5865;6318;6319;9136;9137	2098;5865;6319;9136		
TM35_000501140-t36_1-p1	TM35_000501140-t36_1-p1	9	9	9	TM35_000501140-t36_1-p1 | transcript=TM35_000501140-t36_1 | gene=TM35_000501140 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:38411-39301(-) | protein	1	9	9	9	40.2	40.2	40.2	30.53	296	296	0	87.194	51663000	40				860	319;1006;1007;1184;1185;1437;1611;3177;3788	True;True;True;True;True;True;True;True;True	323;1019;1020;1200;1201;1456;1631;3240;3859	388;1253;1254;1255;1256;1486;1487;1795;1796;2010;3983;4755	703;704;705;706;2416;2417;2418;2419;2420;2421;2422;2423;2424;2871;2872;2873;2874;2875;2876;3437;3438;3439;3440;3441;3442;3855;3856;3857;3858;3859;3860;3861;7545;7546;7547;9065;9066;9067;9068;9069	704;2416;2418;2871;2876;3438;3857;7547;9066		
TM35_000501150-t36_1-p1	TM35_000501150-t36_1-p1	1	1	1	TM35_000501150-t36_1-p1 | transcript=TM35_000501150-t36_1 | gene=TM35_000501150 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:40004-41017(-) | protein	1	1	1	1	5.3	5.3	5.3	34.341	337	337	0	11.046	5018900	2				861	1039	True	1052	1292;1293	2479;2480	2479		
TM35_000501160-t36_1-p1	TM35_000501160-t36_1-p1	1	1	1	TM35_000501160-t36_1-p1 | transcript=TM35_000501160-t36_1 | gene=TM35_000501160 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:41843-43201(-) | protein	1	1	1	1	2.4	2.4	2.4	46.318	452	452	0.0031898	6.031	352860	1				862	2248	True	2279	2788	5336	5336		
TM35_000501170-t36_1-p1	TM35_000501170-t36_1-p1	8	8	5	TM35_000501170-t36_1-p1 | transcript=TM35_000501170-t36_1 | gene=TM35_000501170 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:44202-44933(-) | protein	1	8	8	5	43	43	31.6	25.068	244	244	0	80.486	34571000	15				863	310;1158;1658;2298;2924;3371;3372;3625	True;True;True;True;True;True;True;True	314;1173;1174;1678;2329;2981;3436;3437;3694	378;1444;1445;1446;2065;2841;3653;4233;4234;4235;4561	685;686;687;2803;2804;2805;2806;3974;5432;6901;8009;8010;8011;8012;8730	686;2806;3974;5432;6901;8010;8012;8730	106	101
TM35_000501180-t36_1-p1	TM35_000501180-t36_1-p1	3	3	3	TM35_000501180-t36_1-p1 | transcript=TM35_000501180-t36_1 | gene=TM35_000501180 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:45957-46988(-) | protein	1	3	3	3	17.8	17.8	17.8	34.427	343	343	0	22.554	6472100	3				864	1873;2112;2579	True;True;True	1897;2139;2633	2333;2635;3226	4503;5095;6128	4503;5095;6128		
TM35_000501190-t36_1-p1	TM35_000501190-t36_1-p1	2	1	1	TM35_000501190-t36_1-p1 | transcript=TM35_000501190-t36_1 | gene=TM35_000501190 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:47561-48484(-) | protein	1	2	1	1	10.1	7.5	7.5	31.715	307	307	0	12.113	729730	1				865	1720;2261	True;False	1740;2292	2134;2801	4108;5364	4108;5364		
TM35_000501200-t36_1-p1	TM35_000501200-t36_1-p1	2	2	2	TM35_000501200-t36_1-p1 | transcript=TM35_000501200-t36_1 | gene=TM35_000501200 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:51515-52453(-) | protein	1	2	2	2	15.1	15.1	15.1	31.615	312	312	0	21.527	6386800	5				866	1166;1377	True;True	1182;1396	1454;1455;1720	2818;2819;2820;3263;3264	2819;3263		
TM35_000501230-t36_1-p1	TM35_000501230-t36_1-p1	2	2	2	TM35_000501230-t36_1-p1 | transcript=TM35_000501230-t36_1 | gene=TM35_000501230 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:57048-57524(-) | protein	1	2	2	2	17.7	17.7	17.7	15.784	158	158	0	14.159	2566400	3				867	2081;2672	True;True	2108;2728	2599;2600;3345	5016;5017;6337	5016;6337		
TM35_000501240-t36_1-p1	TM35_000501240-t36_1-p1	2	2	2	TM35_000501240-t36_1-p1 | transcript=TM35_000501240-t36_1 | gene=TM35_000501240 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:60613-61110(-) | protein	1	2	2	2	25.9	25.9	25.9	17.354	166	166	0	15.494	573850	2				868	1122;1594	True;True	1136;1614	1405;1989	2737;3812	2737;3812		
TM35_000501270-t36_1-p1	TM35_000501270-t36_1-p1	5	5	4	TM35_000501270-t36_1-p1 | transcript=TM35_000501270-t36_1 | gene=TM35_000501270 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:65201-66136(-) | protein	1	5	5	4	24.1	24.1	24.1	31.708	311	311	0	37.363	16729000	11				869	781;1167;2471;2488;3160	True;True;True;True;True	789;1183;2522;2539;3223	966;1456;3092;3113;3963	1797;1798;2821;5886;5922;5923;5924;5925;5926;5927;7507	1798;2821;5886;5924;7507		
TM35_000501280-t36_1-p1	TM35_000501280-t36_1-p1	2	2	2	TM35_000501280-t36_1-p1 | transcript=TM35_000501280-t36_1 | gene=TM35_000501280 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:67002-67868(-) | protein	1	2	2	2	18.7	18.7	18.7	29.761	289	289	0	49.356	6222400	10				870	570;2632	True;True	575;2686	680;3289;3290	1260;1261;1262;1263;1264;1265;1266;6248;6249;6250	1265;6250		
TM35_000501290-t36_1-p1	TM35_000501290-t36_1-p1	3	3	3	TM35_000501290-t36_1-p1 | transcript=TM35_000501290-t36_1 | gene=TM35_000501290 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:73832-74653(-) | protein	1	3	3	3	22	22	22	28.827	273	273	0	30.654	3626500	5				871	1160;1434;3803	True;True;True	1176;1453;3874	1448;1791;4773	2808;2809;3429;9098;9099	2808;3429;9098		
TM35_000501300-t36_1-p1	TM35_000501300-t36_1-p1	3	2	2	TM35_000501300-t36_1-p1 | transcript=TM35_000501300-t36_1 | gene=TM35_000501300 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:75350-76498(-) | protein	1	3	2	2	14.7	12.8	12.8	39.544	382	382	0	18.059	3269000	4				872	991;1600;2924	True;True;False	1003;1620;2981	1234;1997;3653	2388;2389;3825;3826;6901	2389;3825;6901		
TM35_000501330-t36_1-p1	TM35_000501330-t36_1-p1	3	1	1	TM35_000501330-t36_1-p1 | transcript=TM35_000501330-t36_1 | gene=TM35_000501330 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:86529-87530(-) | protein	1	3	1	1	11.7	7.8	7.8	33.637	333	333	0	20.384	895800	2				873	511;1235;3917	True;False;False	516;1252;3988	615;1548;4906	1124;1125;2992;9362;9363	1124;2992;9363		
TM35_000501340-t36_1-p1	TM35_000501340-t36_1-p1	1	1	1	TM35_000501340-t36_1-p1 | transcript=TM35_000501340-t36_1 | gene=TM35_000501340 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:88227-88946(-) | protein	1	1	1	1	7.1	7.1	7.1	23.623	239	239	0	10.676	3088300	2				874	2611	True	2665	3261;3262	6193;6194	6193		
TM35_000501350-t36_1-p1	TM35_000501350-t36_1-p1	2	2	2	TM35_000501350-t36_1-p1 | transcript=TM35_000501350-t36_1 | gene=TM35_000501350 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:89759-90739(-) | protein	1	2	2	2	10.1	10.1	10.1	33.641	326	326	0	21.393	2777800	3				875	1895;3483	True;True	1919;3548	2359;4364	4550;4551;8298	4551;8298		
TM35_000501370-t36_1-p1	TM35_000501370-t36_1-p1	2	2	2	TM35_000501370-t36_1-p1 | transcript=TM35_000501370-t36_1 | gene=TM35_000501370 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:97039-98004(-) | protein	1	2	2	2	10.9	10.9	10.9	32.323	322	322	0	14.865	966140	2				876	1180;2870	True;True	1196;2926	1480;3588	2863;6784	2863;6784		
TM35_000501410-t36_1-p1	TM35_000501410-t36_1-p1	5	5	3	TM35_000501410-t36_1-p1 | transcript=TM35_000501410-t36_1 | gene=TM35_000501410 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:103957-104904(-) | prote	1	5	5	3	24.8	24.8	15.6	33.233	315	315	0	41.847	6839000	13				877	1130;1440;2041;3883;4120	True;True;True;True;True	1144;1459;2068;3954;4193	1413;1800;1801;2545;4869;5162	2755;2756;2757;2758;2759;3447;3448;3449;3450;3451;4926;9297;9837	2756;3450;4926;9297;9837		
TM35_000501430-t36_1-p1	TM35_000501430-t36_1-p1	1	1	1	TM35_000501430-t36_1-p1 | transcript=TM35_000501430-t36_1 | gene=TM35_000501430 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:111635-112195(-) | prote	1	1	1	1	8.6	8.6	8.6	19.535	186	186	0	10.355	3496700	3				878	3267	True	3330	4101	7780;7781;7782	7780		
TM35_000501440-t36_1-p1	TM35_000501440-t36_1-p1	1	1	1	TM35_000501440-t36_1-p1 | transcript=TM35_000501440-t36_1 | gene=TM35_000501440 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:113621-114004(-) | prote	1	1	1	1	10.2	10.2	10.2	13.829	127	127	0	24.502	336550	3				879	505	True	510	609	1110;1111;1112	1110		
TM35_000501470-t36_1-p1	TM35_000501470-t36_1-p1	5	5	5	TM35_000501470-t36_1-p1 | transcript=TM35_000501470-t36_1 | gene=TM35_000501470 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:117666-118778(-) | prote	1	5	5	5	25.7	25.7	25.7	38.828	370	370	0	47.885	5385700	8				880	1339;1378;3163;3393;3568	True;True;True;True;True	1358;1397;3226;3458;3635	1670;1671;1721;3967;4260;4486	3181;3182;3183;3265;7514;8064;8562;8563	3181;3265;7514;8064;8562		
TM35_000511000-t36_1-p1	TM35_000511000-t36_1-p1	2	2	2	TM35_000511000-t36_1-p1 | transcript=TM35_000511000-t36_1 | gene=TM35_000511000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:2627-3520(+) | protein_l	1	2	2	2	20.5	20.5	20.5	29.366	297	297	0	17.326	8825300	4				881	633;2503	True;True	639;2554	780;3132	1417;1418;1419;5959	1417;5959		
TM35_000511020-t36_1-p1	TM35_000511020-t36_1-p1	3	3	3	TM35_000511020-t36_1-p1 | transcript=TM35_000511020-t36_1 | gene=TM35_000511020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:8167-9081(+) | protein_l	1	3	3	3	20	20	20	31.127	305	305	0	36.217	13188000	7				882	382;516;2836	True;True;True	386;521;2892	465;620;3549	838;1130;1131;6704;6705;6706;6707	838;1130;6705		
TM35_000511050-t36_1-p1	TM35_000511050-t36_1-p1	5	5	5	TM35_000511050-t36_1-p1 | transcript=TM35_000511050-t36_1 | gene=TM35_000511050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:13811-14809(+) | protein	1	5	5	5	25	25	25	34.966	332	332	0	47.033	13394000	12				883	2325;2491;3100;3622;3953	True;True;True;True;True	2357;2542;3160;3691;4024	2879;3116;3117;3875;4557;4949	5511;5512;5513;5930;5931;7346;7347;8722;9430;9431;9432;9433	5512;5931;7346;8722;9432		
TM35_000511060-t36_1-p1	TM35_000511060-t36_1-p1	5	4	4	TM35_000511060-t36_1-p1 | transcript=TM35_000511060-t36_1 | gene=TM35_000511060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:15587-16132(+) | protein	1	5	4	4	50.5	42.9	42.9	18.902	182	182	0	28.474	2226100	7				884	292;1418;1609;1928;3908	False;True;True;True;True	296;1437;1629;1953;3979	357;1771;2007;2399;4896	639;3385;3386;3387;3850;3851;4640;9346	639;3386;3851;4640;9346		
TM35_000511070-t36_1-p1	TM35_000511070-t36_1-p1	4	4	4	TM35_000511070-t36_1-p1 | transcript=TM35_000511070-t36_1 | gene=TM35_000511070 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:17299-18300(+) | protein	1	4	4	4	24.9	24.9	24.9	35.308	334	334	0	38.817	6402500	11				885	247;1181;3484;3974	True;True;True;True	251;1197;3549;4045	306;307;1481;1482;4365;4972	560;561;562;563;2864;2865;2866;2867;8299;8300;9465	562;2864;8299;9465		
TM35_000511090-t36_1-p1	TM35_000511090-t36_1-p1	7	5	5	TM35_000511090-t36_1-p1 | transcript=TM35_000511090-t36_1 | gene=TM35_000511090 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:20911-21822(+) | protein	1	7	5	5	34	25.4	25.4	32.391	303	303	0	44.634	17855000	12				886	271;673;721;1344;1789;1949;2757	True;True;False;True;False;True;True	275;680;729;1363;1812;1975;2813	334;834;891;1677;2230;2231;2426;2427;3448	603;604;1544;1545;1546;1642;3191;4315;4316;4317;4318;4689;4690;4691;4692;6518;6519	603;1545;1642;3191;4317;4691;6518		
TM35_000511100-t36_1-p1;TM35_000561140-t36_1-p1	TM35_000511100-t36_1-p1	3;1	3;1	3;1	TM35_000511100-t36_1-p1 | transcript=TM35_000511100-t36_1 | gene=TM35_000511100 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:25642-26622(+) | protein	2	3	3	3	11.7	11.7	11.7	33.566	326	326;132	0	29.433	8409600	4				887	1370;1445;1843	True;True;True	1389;1464;1867	1709;1808;2295	3242;3243;3464;4423	3243;3464;4423		
TM35_000511110-t36_1-p1	TM35_000511110-t36_1-p1	2	2	2	TM35_000511110-t36_1-p1 | transcript=TM35_000511110-t36_1 | gene=TM35_000511110 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:27210-27776(+) | protein	1	2	2	2	21.7	21.7	21.7	19.694	189	189	0	24.891	8156200	5				888	1091;1854	True;True	1105;1878	1366;2307	2646;2647;2648;2649;4448	2649;4448		
TM35_000511120-t36_1-p1	TM35_000511120-t36_1-p1	3	3	3	TM35_000511120-t36_1-p1 | transcript=TM35_000511120-t36_1 | gene=TM35_000511120 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:29080-30162(+) | protein	1	3	3	3	20.6	20.6	20.6	36.875	360	360	0	33.785	3687800	6				889	696;1723;1755	True;True;True	703;1743;1776	863;2137;2182	1593;1594;4113;4114;4203;4204	1593;4114;4204		
TM35_001061000-t36_1-p1;TM35_000511130-t36_1-p1	TM35_001061000-t36_1-p1;TM35_000511130-t36_1-p1	1;1	1;1	1;1	TM35_001061000-t36_1-p1 | transcript=TM35_001061000-t36_1 | gene=TM35_001061000 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000106:2669-3190(+) | protein_l	2	1	1	1	14.9	14.9	14.9	18.434	174	174;193	0	9.1279	5647000	1				890	2257	True	2288	2797	5354	5354		
TM35_000511140-t36_1-p1	TM35_000511140-t36_1-p1	2	1	1	TM35_000511140-t36_1-p1 | transcript=TM35_000511140-t36_1 | gene=TM35_000511140 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:31638-32570(+) | protein	1	2	1	1	16.1	10.6	10.6	32.562	311	311	0	7.9699	503140	2				891	1779;2904	True;False	1802;2960	2219;3629	4300;4301;6848;6849;6850	4301;6849		
TM35_000511150-t36_1-p1;TM35_000601130-t36_1-p1	TM35_000511150-t36_1-p1	4;1	4;1	4;1	TM35_000511150-t36_1-p1 | transcript=TM35_000511150-t36_1 | gene=TM35_000511150 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:33348-34124(+) | protein	2	4	4	4	22.8	22.8	22.8	26.646	259	259;326	0	26.058	3627900	6				892	636;1191;1792;2206	True;True;True;True	642;1207;1815;2235	785;1494;2235;2738	1432;2889;2890;2891;4322;5259	1432;2889;4322;5259		
TM35_000511170-t36_1-p1	TM35_000511170-t36_1-p1	5	5	5	TM35_000511170-t36_1-p1 | transcript=TM35_000511170-t36_1 | gene=TM35_000511170 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:38742-39608(+) | protein	1	5	5	5	31.8	31.8	31.8	29.58	289	289	0	54.022	14242000	18				893	732;2626;2967;3050;3559	True;True;True;True;True	740;2680;3025;3110;3626	903;3281;3282;3705;3706;3807;3808;4471	1664;1665;6232;6233;6234;7015;7016;7017;7018;7019;7020;7021;7217;7218;7219;7220;7221;8530	1665;6233;7020;7221;8530		
TM35_000511180-t36_1-p1	TM35_000511180-t36_1-p1	1	1	1	TM35_000511180-t36_1-p1 | transcript=TM35_000511180-t36_1 | gene=TM35_000511180 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:40470-40838(+) | protein	1	1	1	1	14.8	14.8	14.8	13.949	122	122	0	11.648	1564900	1				894	2515	True	2566	3145	5974	5974		
TM35_000511220-t36_1-p1	TM35_000511220-t36_1-p1	6	6	6	TM35_000511220-t36_1-p1 | transcript=TM35_000511220-t36_1 | gene=TM35_000511220 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:44419-45468(+) | protein	1	6	6	6	32.4	32.4	32.4	34.682	349	349	0	73.927	19084000	29				895	528;603;1179;1355;1366;1804	True;True;True;True;True;True	533;608;1195;1374;1385;1827	633;742;743;1478;1479;1688;1689;1702;1703;1704;2250	1171;1172;1173;1356;1357;2858;2859;2860;2861;2862;3207;3208;3209;3210;3211;3212;3230;3231;3232;3233;3234;3235;3236;4345;4346;4347;4348;4349;4350	1171;1356;2860;3207;3232;4349		
TM35_000511260-t36_1-p1	TM35_000511260-t36_1-p1	4	3	3	TM35_000511260-t36_1-p1 | transcript=TM35_000511260-t36_1 | gene=TM35_000511260 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:56835-57764(+) | protein	1	4	3	3	27.8	23.9	23.9	32.293	309	309	0	21.405	6104900	7				896	693;1106;1136;3190	True;True;False;True	700;1120;1151;3253	859;860;1385;1386;1420;4002	1587;1588;1589;1590;2692;2693;2767;7577	1590;2693;2767;7577		
TM35_000511270-t36_1-p1	TM35_000511270-t36_1-p1	2	2	2	TM35_000511270-t36_1-p1 | transcript=TM35_000511270-t36_1 | gene=TM35_000511270 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:58461-59273(+) | protein	1	2	2	2	14.1	14.1	14.1	28.254	270	270	0	23.106	8052900	5				897	906;3187	True;True	917;3250	1136;3998	2170;2171;2172;2173;7572	2170;7572		
TM35_000511290-t36_1-p1	TM35_000511290-t36_1-p1	1	1	1	TM35_000511290-t36_1-p1 | transcript=TM35_000511290-t36_1 | gene=TM35_000511290 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000051:61748-62806(+) | protein	1	1	1	1	6.2	6.2	6.2	36.572	353	353	0	10.304	683480	2				898	3705	True	3776	4659	8901;8902	8901		
